An,Ag,As,q
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,nan
9.990999099910e-05,2.628995843213e-05,3.581769791636e-03,1.362409834494e+02
1.998199819982e-04,5.257991686425e-05,5.488636750161e-03,1.043865619706e+02
2.997299729973e-04,7.886987529638e-05,6.992000950040e-03,8.865236471802e+01
3.996399639964e-04,1.051598337285e-04,8.272856348527e-03,7.866935554392e+01
4.995499549955e-04,1.314497921606e-04,9.406429421712e-03,7.155910456075e+01
5.994599459946e-04,1.577397505928e-04,1.043297263046e-02,6.614041540734e+01
6.993699369937e-04,1.840297090249e-04,1.137711395767e-02,6.182215913917e+01
7.992799279928e-04,2.103196674570e-04,1.225525719909e-02,5.826966801188e+01
8.991899189919e-04,2.366096258891e-04,1.307899355886e-02,5.527667570459e+01
9.990999099910e-04,2.628995843213e-04,1.385687933684e-02,5.270787845714e+01
1.099009900990e-03,2.891895427534e-04,1.459544693693e-02,5.047017536653e+01
1.198919891989e-03,3.154795011855e-04,1.529981909192e-02,4.849703081952e+01
1.298829882988e-03,3.417694596177e-04,1.597410185137e-02,4.673940693602e+01
1.398739873987e-03,3.680594180498e-04,1.662164674081e-02,4.516022665275e+01
1.498649864986e-03,3.943493764819e-04,1.724523177452e-02,4.373084580066e+01
1.598559855986e-03,4.206393349140e-04,1.784719010729e-02,4.242872367354e+01
1.698469846985e-03,4.469292933462e-04,1.842950375339e-02,4.123583758721e+01
1.798379837984e-03,4.732192517783e-04,1.899387332583e-02,4.013757524542e+01
1.898289828983e-03,4.995092102104e-04,1.954177090315e-02,3.912194310675e+01
1.998199819982e-03,5.257991686425e-04,2.007448076527e-02,3.817898917013e+01
2.098109810981e-03,5.520891270747e-04,2.059313123975e-02,3.730037457696e+01
2.198019801980e-03,5.783790855068e-04,2.109871992249e-02,3.647905059362e+01
2.297929792979e-03,6.046690439389e-04,2.159213388472e-02,3.570901156783e+01
2.397839783978e-03,6.309590023711e-04,2.207416603408e-02,3.498510355051e+01
2.497749774977e-03,6.572489608032e-04,2.254552848862e-02,3.430287430363e+01
2.597659765977e-03,6.835389192353e-04,2.300686360485e-02,3.365845448946e+01
2.697569756976e-03,7.098288776674e-04,2.345875314396e-02,3.304846263940e+01
2.797479747975e-03,7.361188360996e-04,2.390172594682e-02,3.246992846082e+01
2.897389738974e-03,7.624087945317e-04,2.433626440388e-02,3.192023043075e+01
2.997299729973e-03,7.886987529638e-04,2.476280994356e-02,3.139704462636e+01
3.097209720972e-03,8.149887113959e-04,2.518176771512e-02,3.089830247094e+01
3.197119711971e-03,8.412786698281e-04,2.559351060596e-02,3.042215561128e+01
3.297029702970e-03,8.675686282602e-04,2.599838270546e-02,2.996694654300e+01
3.396939693969e-03,8.938585866923e-04,2.639670230567e-02,2.953118390164e+01
3.496849684968e-03,9.201485451245e-04,2.678876451240e-02,2.911352156600e+01
3.596759675968e-03,9.464385035566e-04,2.717484352678e-02,2.871274089617e+01
3.696669666967e-03,9.727284619887e-04,2.755519464660e-02,2.832773556381e+01
3.796579657966e-03,9.990184204208e-04,2.793005602854e-02,2.795749853819e+01
3.896489648965e-03,1.025308378853e-03,2.829965024506e-02,2.760111087429e+01
3.996399639964e-03,1.051598337285e-03,2.866418566464e-02,2.725773201452e+01
4.096309630963e-03,1.077888295717e-03,2.902385767907e-02,2.692659136795e+01
4.196219621962e-03,1.104178254149e-03,2.937884979813e-02,2.660698097226e+01
4.296129612961e-03,1.130468212581e-03,2.972933462863e-02,2.629824907747e+01
4.396039603960e-03,1.156758171014e-03,3.007547475244e-02,2.599979451719e+01
4.495949594959e-03,1.183048129446e-03,3.041742351598e-02,2.571106175556e+01
4.595859585959e-03,1.209338087878e-03,3.075532574174e-02,2.543153651574e+01
4.695769576958e-03,1.235628046310e-03,3.108931837111e-02,2.516074191093e+01
4.795679567957e-03,1.261918004742e-03,3.141953104637e-02,2.489823501076e+01
4.895589558956e-03,1.288207963174e-03,3.174608663884e-02,2.464360378631e+01
4.995499549955e-03,1.314497921606e-03,3.206910172896e-02,2.439646438525e+01
5.095409540954e-03,1.340787880038e-03,3.238868704374e-02,2.415645869562e+01
5.195319531953e-03,1.367077838471e-03,3.270494785596e-02,2.392325216284e+01
5.295229522952e-03,1.393367796903e-03,3.301798434918e-02,2.369653182927e+01
5.395139513951e-03,1.419657755335e-03,3.332789195209e-02,2.347600457001e+01
5.495049504950e-03,1.445947713767e-03,3.363476164519e-02,2.326139550203e+01
5.594959495950e-03,1.472237672199e-03,3.393868024268e-02,2.305244654689e+01
5.694869486949e-03,1.498527630631e-03,3.423973065187e-02,2.284891512974e+01
5.794779477948e-03,1.524817589063e-03,3.453799211221e-02,2.265057299964e+01
5.894689468947e-03,1.551107547496e-03,3.483354041605e-02,2.245720515789e+01
5.994599459946e-03,1.577397505928e-03,3.512644811256e-02,2.226860888302e+01
6.094509450945e-03,1.603687464360e-03,3.541678469655e-02,2.208459284221e+01
6.194419441944e-03,1.629977422792e-03,3.570461678342e-02,2.190497628014e+01
6.294329432943e-03,1.656267381224e-03,3.599000827152e-02,2.172958827754e+01
6.394239423942e-03,1.682557339656e-03,3.627302049294e-02,2.155826707240e+01
