phase(0-1) flux(ppm) errorbar(ppm)
0.0041666667 -234.7318146244 2.8339858112
0.0125000000 -228.3000136075 2.5238965308
0.0208333333 -212.1976507127 2.5344261087
0.0291666667 -176.3020061972 2.5781451639
0.0375000000 -140.1295961526 2.6899745636
0.0458333333 -107.1103469575 3.3967705206
0.0541666667 -73.2709776534 2.6402784504
0.0625000000 -47.3306482996 2.5795062931
0.0708333333 -15.4832272689 2.4957123542
0.0791666667 -3.4372467597 2.2516208538
0.0875000000 -1.9891296678 2.4230985457
0.0958333333 -2.3646630023 2.3402496628
0.1041666667 -1.3082624513 2.3622545046
0.1125000000 -1.7505925467 2.8639024401
0.1208333333 -0.3001938617 2.3979431795
0.1291666667 -1.6211492253 4.1661213413
0.1375000000 -0.8008094444 2.3730700012
0.1458333333 -0.0951284732 2.4230470605
0.1541666667 -3.3637167319 2.3949145746
0.1625000000 0.9120330380 2.7282079366
0.1708333333 -3.8639437605 2.6230342045
0.1791666667 0.9055658861 2.3193315861
0.1875000000 -0.2041670210 2.6560534598
0.1958333333 3.8033031375 2.3914657538
0.2041666667 5.4355200616 2.4379548807
0.2125000000 -1.5495921907 2.4913696658
0.2208333333 -2.1535534389 2.5816401366
0.2291666667 -5.4077856553 2.4564828181
0.2375000000 -1.3088110452 2.5816671338
0.2458333333 2.4802606551 2.6948734573
0.2541666667 -1.4100822711 2.5438185397
0.2625000000 0.3572973664 2.8665862304
0.2708333333 0.2063317381 2.5967333894
0.2791666667 -2.0740308340 2.6283874629
0.2875000000 -3.2537057993 2.7753194480
0.2958333333 4.1129704280 2.4321201479
0.3041666667 5.4833249397 2.5340096998
0.3125000000 -5.8955333256 2.3764015740
0.3208333333 -0.0937354807 2.7804932566
0.3291666667 2.7665599458 2.4363827455
0.3375000000 -1.3149046433 2.5160470077
0.3458333333 0.5396860165 2.4706688922
0.3541666667 2.0704543038 2.6633847691
0.3625000000 8.4375794458 2.4225126624
0.3708333333 3.0119625178 2.6996622241
0.3791666667 9.8812539020 3.4881562241
0.3875000000 7.2938439304 2.3903910469
0.3958333333 4.9915274611 3.2472136128
0.4041666667 1.9201617487 2.3811967060
0.4125000000 0.1903617295 2.5282729223
0.4208333333 3.4216635421 2.5916432120
0.4291666667 5.7413662402 2.4151531197
0.4375000000 1.4683844136 2.5606872180
0.4458333333 -0.4252897945 2.5070368014
0.4541666667 2.9762748963 3.4843797942
0.4625000000 -1.2986734029 2.7583229053
0.4708333333 -8.0580554495 2.8437532940
0.4791666667 -6.8249704944 2.7224368313
0.4875000000 -3.2235785036 2.7069345852
0.4958333333 -8.1186658691 2.5317512402
0.5041666667 -9.1457761822 2.7930270111
0.5125000000 -4.6858779557 3.8746026045
0.5208333333 -6.1652947417 2.5982992134
0.5291666667 -4.6906442338 2.4876029639
0.5375000000 -4.7457141717 2.8672823659
0.5458333333 1.3080605687 2.6195930576
0.5541666667 -0.9770937738 2.4669121023
0.5625000000 -1.8006399869 3.1716543846
0.5708333333 -0.1185199839 2.5417613744
0.5791666667 1.1621794600 2.3841012655
0.5875000000 2.0273014403 2.5804917492
0.5958333333 10.1903462464 2.4662407972
0.6041666667 4.6001511487 2.7288671544
0.6125000000 4.6846289821 2.3379499707
0.6208333333 1.2149142721 2.3923716278
0.6291666667 2.2638156547 2.9163580649
0.6375000000 2.4723048715 2.4326017419
0.6458333333 3.9865949613 3.7876745530
0.6541666667 3.1275611454 2.3689016806
0.6625000000 4.4832074781 2.2586310732
0.6708333333 -1.1676527509 2.3289408504
0.6791666667 -1.3718789994 2.7480443498
0.6875000000 1.6667231828 2.7217884471
0.6958333333 5.4207325961 4.5433829245
0.7041666667 5.8984046916 2.5907998482
0.7125000000 5.7558635118 4.3804872884
0.7208333333 2.8959973475 2.4871848277
0.7291666667 0.2463891990 2.4130682210
0.7375000000 -2.3522087460 2.4947965980
0.7458333333 -2.5502935393 2.4948539053
0.7541666667 -0.9746753428 3.4767096252
0.7625000000 5.6003044342 2.3621249046
0.7708333333 1.4537763553 2.7415116424
0.7791666667 -2.6812481070 2.4488394541
0.7875000000 -2.2926760325 2.5805056692
0.7958333333 -0.4220546586 2.3345648745
0.8041666667 -0.4995566997 2.7628229582
0.8125000000 -4.8590974477 2.4842088504
0.8208333333 0.7267996471 2.5433316718
0.8291666667 -2.1726942385 2.6356312911
0.8375000000 -2.8917451248 2.6510120201
0.8458333333 -3.3020286495 2.4169278257
0.8541666667 -5.6146250337 2.3822679124
0.8625000000 2.8264616827 2.8418945936
0.8708333333 2.2208029034 4.0991207891
0.8791666667 -6.4822685377 2.8747923432
0.8875000000 -5.2784862163 2.3022228914
0.8958333333 -1.3260623370 2.5481054591
0.9041666667 -2.2329648059 2.3816073702
0.9125000000 -1.9532906359 2.3054364206
0.9208333333 -4.5924769214 2.4675117011
0.9291666667 -8.1298618637 2.3871661492
0.9375000000 -35.0272765579 3.2251172479
0.9458333333 -65.9560160017 2.5175132194
0.9541666667 -98.8881878837 2.6556751747
0.9625000000 -128.4183851326 2.7230714719
0.9708333333 -163.0096526074 2.6709631924
0.9791666667 -200.0223341855 3.0100490360
0.9875000000 -219.6232452746 2.5682048740
0.9958333333 -231.9513911559 2.6036124531
