phase(0-1) flux(ppm) errorbar(ppm)
0.0041666667 -234.6916437966 2.6921532550
0.0125000000 -228.1563154817 2.4770800645
0.0208333333 -211.9703577674 2.4691185557
0.0291666667 -177.5647991431 2.5583414389
0.0375000000 -141.6137988772 2.5979982441
0.0458333333 -108.6585485320 3.3464890894
0.0541666667 -72.3682429544 2.5567600100
0.0625000000 -47.4759294998 2.4472042148
0.0708333333 -15.8656075421 2.3968703503
0.0791666667 -3.0703052110 2.1824180449
0.0875000000 -2.9250219091 2.3532429001
0.0958333333 -4.3653009357 2.1504666663
0.1041666667 -2.7459540455 2.3533361115
0.1125000000 -1.1644734014 2.8614317280
0.1208333333 -0.5016914960 2.3376652394
0.1291666667 -1.9711057311 3.8959405503
0.1375000000 -1.2414408894 2.2056039618
0.1458333333 -2.5331588753 2.3018726834
0.1541666667 -4.4437690775 2.1928240294
0.1625000000 -1.0094317032 2.5127476533
0.1708333333 -2.6537547507 2.4778168519
0.1791666667 0.6204044805 2.1548649434
0.1875000000 -0.1284171907 2.5124840189
0.1958333333 3.0357080159 2.2305167585
0.2041666667 2.4285658258 2.2737168461
0.2125000000 -1.5366022923 2.3623066374
0.2208333333 -2.5710397010 2.4232629649
0.2291666667 -4.4585271859 2.3960322852
0.2375000000 -1.1645261452 2.3977377610
0.2458333333 1.7631578295 2.5142572178
0.2541666667 -1.8860036515 2.3744220287
0.2625000000 -2.6203148731 2.6281220361
0.2708333333 1.2564375655 2.4086382042
0.2791666667 -1.6541316155 2.4965022082
0.2875000000 -2.2115755571 2.5734058786
0.2958333333 4.4233543419 2.2462716517
0.3041666667 4.0801749328 2.4191783642
0.3125000000 -5.5985238385 2.2357177721
0.3208333333 -1.3427505825 2.6285987089
0.3291666667 2.8921130650 2.3390768956
0.3375000000 0.3154538843 2.3395852484
0.3458333333 1.8753401094 2.3111946585
0.3541666667 2.6947351923 2.4675315957
0.3625000000 6.3864231878 2.2712272918
0.3708333333 3.7287134864 2.5385602187
0.3791666667 9.3950562585 3.4491215746
0.3875000000 8.1727493850 2.3697021624
0.3958333333 7.2764526737 3.1900597794
0.4041666667 2.1362493587 2.2662342646
0.4125000000 0.4190410248 2.4832595195
0.4208333333 2.1883900976 2.5150984929
0.4291666667 5.6871443526 2.4160749287
0.4375000000 1.2636181113 2.4696794122
0.4458333333 0.6616766450 2.4786058208
0.4541666667 4.5176467964 3.4085406933
0.4625000000 -1.3066597782 2.7354586365
0.4708333333 -7.6310840363 2.6676256505
0.4791666667 -8.0795546495 2.6621064135
0.4875000000 -3.5049727466 2.6466532174
0.4958333333 -8.1276266524 2.4674163896
0.5041666667 -8.1907380275 2.7253094452
0.5125000000 -2.3836740412 3.7869235137
0.5208333333 -6.0775972102 2.4768936172
0.5291666667 -4.6243432055 2.4284126801
0.5375000000 -6.5616920707 2.8276341119
0.5458333333 0.8541831347 2.5380658116
0.5541666667 -0.5503555067 2.4090394738
0.5625000000 -0.2512804039 3.0455619021
0.5708333333 1.6719036566 2.3829555571
0.5791666667 1.2252667940 2.3282068254
0.5875000000 0.4819920905 2.4274157041
0.5958333333 8.4739112449 2.3924596749
0.6041666667 5.6373381712 2.6856156841
0.6125000000 6.1958548734 2.3465927388
0.6208333333 1.8020792183 2.3789960692
0.6291666667 3.3635796255 2.6956071593
0.6375000000 3.0699832239 2.3143963399
0.6458333333 1.8298984170 3.6753848936
0.6541666667 1.7435603081 2.2354548138
0.6625000000 5.4503600582 2.1000288658
0.6708333333 -0.2107852234 2.2057030978
0.6791666667 -1.8061950763 2.6223580032
0.6875000000 2.7446651139 2.5439369827
0.6958333333 5.6312433734 4.3577884584
0.7041666667 3.8643293332 2.4257512155
0.7125000000 4.3449252558 4.2141959407
0.7208333333 3.7401800244 2.3371501671
0.7291666667 1.0736350180 2.2979524938
0.7375000000 -3.2014265829 2.3246036164
0.7458333333 -2.3825357829 2.2702905823
0.7541666667 -0.9629697322 3.3129483233
0.7625000000 4.1540266140 2.1975940083
0.7708333333 0.7508875839 2.5874475280
0.7791666667 -3.1593126605 2.3216440279
0.7875000000 -1.6535297990 2.3914538196
0.7958333333 -0.8693103245 2.2412068063
0.8041666667 -1.2784735074 2.6183845670
0.8125000000 -5.2855317283 2.3405410760
0.8208333333 0.5325124579 2.3966641626
0.8291666667 -3.6483797485 2.5640297961
0.8375000000 -3.2785003210 2.4459695577
0.8458333333 -3.2590071446 2.2404607329
0.8541666667 -5.6094963172 2.2058877566
0.8625000000 2.8958146168 2.6178704289
0.8708333333 0.6167351472 3.8893194412
0.8791666667 -6.5386482215 2.7550881206
0.8875000000 -5.8836373787 2.3136568962
0.8958333333 -1.1386989820 2.5201593938
0.9041666667 -2.0624637928 2.3086242395
0.9125000000 -2.3789794404 2.2018520430
0.9208333333 -4.7604988517 2.4024488031
0.9291666667 -10.1584643832 2.2994584269
0.9375000000 -35.3627865424 3.2451204907
0.9458333333 -66.7220279731 2.4739591658
0.9541666667 -98.4293174663 2.5742605453
0.9625000000 -128.0597636667 2.7099357912
0.9708333333 -163.9676933594 2.5713743382
0.9791666667 -200.7117159244 2.9953411542
0.9875000000 -221.6328394508 2.5408321924
0.9958333333 -231.8698046505 2.5725691869
